first_name,last_name,salary,age,doj,manager_name,employee_id,dob
'Louise','Brown',100000,50,2021-01-25,'Gary',29,1973-05-29
'Mickey','Mouse',10000,51,2020-12-26,'Sponge',30,1972-06-30
'Minnie','Pink',20000,52,2020-11-26,'Bob',31,1971-07-01
'Donald','Duck,30000,53,2020-10-27,'Square',32,1970-08-01
'Daisy','Yellow',40000,54,2020-09-27,'Pants',33,1969-09-02
'Goofy','Dog',50000,55,2020-08-28,'Patrick',34,1968-10-03
'Pete','Cat',60000,56,2020-07-29,'Star',35,1967-11-04
'Pluto','White',70000,57,2020-06-29,'Squid',36,1966-01-05
'Huey','Red',80000,58,2020-05-30,'Ward',37,1965-01-06
'Dewey','Black',90000,59,2020-04-30,'Eugene',38,1964-02-07
'Louise','Brown',100000,60,2020-03-31,'Gary',39,1963-03-08
'Mickey','Mouse',10000,21,2023-05-26,'Sponge',40,2002-04-09
'Minnie','Pink',20000,22,2023-05-26,'Bob',41,2001-05-10
'Donald','Duck,30000,23,2023-05-26,'Square',42,2000-06-11
'Daisy','Yellow',40000,24,2023-05-26,'Pants',43,1999-07-12
'Goofy','Dog',50000,25,2019-11-02,'Patrick',44,1998-08-13
'Pete','Cat',60000,26,2019-10-03,'Star',45,1997-09-14
'Pluto','White',70000,27,2019-09-03,'Squid',46,1996-10-15
'Huey','Red',80000,28,2019-08-04,'Ward',47,1995-11-16
'Dewey','Black',90000,29,2019-07-05,'Eugene',48,1994-01-17
'Louise','Brown',100000,30,2019-06-05,'Gary',49,1993-01-18
'Mickey','Mouse',10000,31,2019-05-06,'Sponge',50,1992-02-19
'Minnie','Pink',20000,32,2019-04-06,'Bob',51,1991-03-20
'Donald','Duck,30000,33,2019-03-07,'Square',52,1990-04-21
'Daisy','Yellow',40000,34,2019-02-05,'Pants',53,1989-05-22
'Goofy','Dog',50000,35,2019-01-06,'Patrick',54,1988-06-23
'Pete','Cat',60000,36,2018-12-07,'Star',55,1987-07-24
'Pluto','White',70000,37,2018-11-07,'Squid',56,1986-08-25
'Huey','Red',80000,38,2018-10-08,'Ward',57,1985-09-26
'Dewey','Black',90000,39,2018-09-08,'Eugene',58,1984-10-27
'Louise','Brown',100000,40,2018-08-09,'Gary',59,1983-11-28
'Mickey','Mouse',10000,41,2018-07-10,'Sponge',60,1982-01-29
'Minnie','Pink',20000,42,2018-06-10,'Bob',61,1981-01-30
'Donald','Duck,30000,43,2018-05-11,'Square',62,1980-02-01
'Daisy','Yellow',40000,44,2018-04-11,'Pants',63,1979-03-01
'Goofy','Dog',50000,45,2018-03-12,'Patrick',64,1978-04-02
'Pete','Cat',60000,46,2018-02-10,'Star',65,1977-05-03
'Pluto','White',70000,47,2018-01-11,'Squid',66,1976-06-04
'Huey','Red',80000,48,2017-12-12,'Ward',67,1975-07-05
'Dewey','Black',90000,49,2017-11-12,'Eugene',68,1974-08-06
'Louise','Brown',100000,50,2017-10-13,'Gary',69,1973-09-07
'Mickey','Mouse',10000,51,2017-09-13,'Sponge',70,1972-10-08
'Minnie','Pink',20000,52,2017-08-14,'Bob',71,1971-11-09
'Donald','Duck,30000,53,2017-07-15,'Square',72,1970-01-10
'Daisy','Yellow',40000,54,2017-06-15,'Pants',73,1969-01-11
'Goofy','Dog',50000,55,2017-05-16,'Patrick',74,1968-02-12
'Pete','Cat',60000,56,2017-04-16,'Star',75,1967-03-13
'Pluto','White',70000,57,2017-03-17,'Squid',76,1966-04-14
'Huey','Red',80000,58,2017-02-15,'Ward',77,1965-05-15
'Dewey','Black',90000,59,2017-01-16,'Eugene',78,1964-06-16
'Louise','Brown',100000,60,2016-12-17,'Gary',79,1963-07-17
'Mickey','Mouse',10000,21,2023-05-26,'Sponge',80,2002-08-18
'Minnie','Pink',20000,22,2023-05-26,'Bob',81,2001-09-19
'Donald','Duck,30000,23,2023-05-26,'Square',82,2000-10-20
'Daisy','Yellow',40000,24,2023-05-26,'Pants',83,1999-11-21
'Goofy','Dog',50000,25,2023-05-26,'Patrick',84,1998-01-22
'Pete','Cat',60000,26,2023-05-26,'Star',85,1997-01-23
'Pluto','White',70000,27,2023-05-26,'Squid',86,1996-02-24
'Huey','Red',80000,28,2016-04-21,'Ward',87,1995-03-25
'Dewey','Black',90000,29,2016-03-22,'Eugene',88,1994-04-26
'Louise','Brown',100000,30,2016-02-21,'Gary',89,1993-05-27
'Mickey','Mouse',10000,31,2016-01-22,'Sponge',90,1992-06-28
'Minnie','Pink',20000,32,2015-12-23,'Bob',91,1991-07-29
'Donald','Duck,30000,33,2015-11-23,'Square',92,1990-08-30
'Daisy','Yellow',40000,34,2015-10-24,'Pants',93,1989-09-01
'Goofy','Dog',50000,35,2015-09-24,'Patrick',94,1988-10-01
'Pete','Cat',60000,36,2015-08-25,'Star',95,1987-11-02
'Pluto','White',70000,37,2015-07-26,'Squid',96,1986-01-03
'Huey','Red',80000,38,2015-06-26,'Ward',97,1985-01-04
'Dewey','Black',90000,39,2015-05-27,'Eugene',98,1984-02-05
'Louise','Brown',100000,40,2015-04-27,'Gary',99,1983-03-06
'Mickey','Mouse',10000,41,2015-03-28,'Sponge',100,1982-04-07
'Minnie','Pink',20000,42,2015-02-26,'Bob',101,1981-05-08
'Donald','Duck,30000,43,2015-01-27,'Square',102,1980-06-09
'Daisy','Yellow',40000,44,2014-12-28,'Pants',103,1979-07-10
'Goofy','Dog',50000,45,2014-11-28,'Patrick',104,1978-08-11
'Pete','Cat',60000,46,2014-10-29,'Star',105,1977-09-12
'Pluto','White',70000,47,2014-09-29,'Squid',106,1976-10-13
'Huey','Red',80000,48,2014-08-30,'Ward',107,1975-11-14
'Dewey','Black',90000,49,2014-07-31,'Eugene',108,1974-01-15
'Louise','Brown',100000,50,2014-07-01,'Gary',109,1973-01-16
'Mickey','Mouse',10000,51,2014-06-01,'Sponge',110,1972-02-17
'Minnie','Pink',20000,52,2014-05-02,'Bob',111,1971-03-18
'Donald','Duck,30000,53,2014-04-02,'Square',112,1970-04-19
'Daisy','Yellow',40000,54,2014-03-03,'Pants',113,1969-05-20
'Goofy','Dog',50000,55,2014-02-01,'Patrick',114,1968-06-21
'Pete','Cat',60000,56,2014-01-02,'Star',115,1967-07-22
'Pluto','White',70000,57,2013-12-03,'Squid',116,1966-08-23
'Huey','Red',80000,58,2013-11-03,'Ward',117,1965-09-24
'Dewey','Black',90000,59,2013-10-04,'Eugene',118,1964-10-25
'Louise','Brown',100000,60,2013-09-04,'Gary',119,1963-11-26
'Mickey','Mouse',10000,21,2023-05-26,'Sponge',120,2002-01-27
'Minnie','Pink',20000,22,2023-05-26,'Bob',121,2001-01-28
'Donald','Duck,30000,23,2023-05-26,'Square',122,2000-02-28
'Daisy','Yellow',40000,24,2023-05-26,'Pants',123,1999-03-30
'Goofy','Dog',50000,25,2023-05-26,'Patrick',124,1998-04-01
'Pete','Cat',60000,26,2023-05-26,'Star',125,1997-05-01
'Pluto','White',70000,27,2023-05-26,'Squid',126,1996-06-02
'Huey','Red',80000,28,2023-05-26,'Ward',127,1995-07-03
'Dewey','Black',90000,29,2023-05-26,'Eugene',128,1994-08-04
'Louise','Brown',100000,30,2023-05-26,'Gary',129,1993-09-05
'Mickey','Mouse',10000,31,2023-05-26,'Sponge',130,1992-10-06
'Minnie','Pink',20000,32,2012-09-09,'Bob',131,1991-11-07
'Donald','Duck,30000,33,2012-08-10,'Square',132,1990-01-08
'Daisy','Yellow',40000,34,2012-07-11,'Pants',133,1989-01-09
'Goofy','Dog',50000,35,2012-06-11,'Patrick',134,1988-02-10
'Pete','Cat',60000,36,2012-05-12,'Star',135,1987-03-11
'Pluto','White',70000,37,2012-04-12,'Squid',136,1986-04-12
'Huey','Red',80000,38,2012-03-13,'Ward',137,1985-05-13
'Dewey','Black',90000,39,2012-02-12,'Eugene',138,1984-06-14
'Louise','Brown',100000,40,2012-01-13,'Gary',139,1983-07-15
'Mickey','Mouse',10000,41,2011-12-14,'Sponge',140,1982-08-16
'Minnie','Pink',20000,42,2011-11-14,'Bob',141,1981-09-17
'Donald','Duck,30000,43,2011-10-15,'Square',142,1980-10-18
'Daisy','Yellow',40000,44,2011-09-15,'Pants',143,1979-11-19
'Goofy','Dog',50000,45,2011-08-16,'Patrick',144,1978-01-20
'Pete','Cat',60000,46,2011-07-17,'Star',145,1977-01-21
'Pluto','White',70000,47,2011-06-17,'Squid',146,1976-02-22
'Huey','Red',80000,48,2011-05-18,'Ward',147,1975-03-23
'Dewey','Black',90000,49,2011-04-18,'Eugene',148,1974-04-24
'Louise','Brown',100000,50,2011-03-19,'Gary',149,1973-05-25
'Mickey','Mouse',10000,51,2011-02-17,'Sponge',150,1972-06-26
'Minnie','Pink',20000,52,2011-01-18,'Bob',151,1971-07-27
'Donald','Duck,30000,53,2010-12-19,'Square',152,1970-08-28
'Daisy','Yellow',40000,54,2010-11-19,'Pants',153,1969-09-29
'Goofy','Dog',50000,55,2010-10-20,'Patrick',154,1968-10-30
'Pete','Cat',60000,56,2010-09-20,'Star',155,1967-11-01
'Pluto','White',70000,57,2010-08-21,'Squid',156,1966-01-01
'Huey','Red',80000,58,2010-07-22,'Ward',157,1965-01-02
'Dewey','Black',90000,59,2010-06-22,'Eugene',158,1964-02-03
'Louise','Brown',100000,60,2010-05-23,'Gary',159,1963-03-04
'Mickey','Mouse',10000,21,2023-05-26,'Sponge',160,2002-04-05
'Minnie','Pink',20000,22,2023-05-26,'Bob',161,2001-05-06
'Donald','Duck,30000,23,2023-05-26,'Square',162,2000-06-07
'Daisy','Yellow',40000,24,2023-05-26,'Pants',163,1999-07-08
'Goofy','Dog',50000,25,2023-05-26,'Patrick',164,1998-08-09
'Pete','Cat',60000,26,2023-05-26,'Star',165,1997-09-10
'Pluto','White',70000,27,2023-05-26,'Squid',166,1996-10-11
'Huey','Red',80000,28,2023-05-26,'Ward',167,1995-11-12
'Dewey','Black',90000,29,2023-05-26,'Eugene',168,1994-01-13
'Louise','Brown',100000,30,2023-05-26,'Gary',169,1993-01-14
'Mickey','Mouse',10000,31,2023-05-26,'Sponge',170,1992-02-15
'Minnie','Pink',20000,32,2023-05-26,'Bob',171,1991-03-16
'Donald','Duck,30000,33,2023-05-26,'Square',172,1990-04-17
'Daisy','Yellow',40000,34,2023-05-26,'Pants',173,1989-05-18
'Goofy','Dog',50000,35,2009-02-27,'Patrick',174,1988-06-19
'Pete','Cat',60000,36,2009-01-28,'Star',175,1987-07-20
'Pluto','White',70000,37,2008-12-29,'Squid',176,1986-08-21
'Huey','Red',80000,38,2008-11-29,'Ward',177,1985-09-22
'Dewey','Black',90000,39,2008-10-30,'Eugene',178,1984-10-23
'Louise','Brown',100000,40,2008-09-30,'Gary',179,1983-11-24
'Mickey','Mouse',10000,41,2008-08-31,'Sponge',180,1982-01-25
'Minnie','Pink',20000,42,2008-08-01,'Bob',181,1981-01-26
'Donald','Duck,30000,43,2008-07-02,'Square',182,1980-02-27
'Daisy','Yellow',40000,44,2008-06-02,'Pants',183,1979-03-28
'Goofy','Dog',50000,45,2008-05-03,'Patrick',184,1978-04-29
'Pete','Cat',60000,46,2008-04-03,'Star',185,1977-05-30
'Pluto','White',70000,47,2008-03-04,'Squid',186,1976-06-01
'Huey','Red',80000,48,2008-02-03,'Ward',187,1975-07-01
'Dewey','Black',90000,49,2008-01-04,'Eugene',188,1974-08-02
'Louise','Brown',100000,50,2007-12-05,'Gary',189,1973-09-03
'Mickey','Mouse',10000,51,2007-11-05,'Sponge',190,1972-10-04
'Minnie','Pink',20000,52,2007-10-06,'Bob',191,1971-11-05
'Donald','Duck,30000,53,2007-09-06,'Square',192,1970-01-06
'Daisy','Yellow',40000,54,2007-08-07,'Pants',193,1969-01-07
'Goofy','Dog',50000,55,2007-07-08,'Patrick',194,1968-02-08
'Pete','Cat',60000,56,2007-06-08,'Star',195,1967-03-09
'Pluto','White',70000,57,2007-05-09,'Squid',196,1966-04-10
'Huey','Red',80000,58,2007-04-09,'Ward',197,1965-05-11
'Dewey','Black',90000,59,2007-03-10,'Eugene',198,1964-06-12
'Louise','Brown',100000,60,2007-02-08,'Gary',199,1963-07-13
'Mickey','Mouse',10000,21,2023-05-26,'Sponge',200,2002-08-14
'Minnie','Pink',20000,22,2023-05-26,'Bob',201,2001-09-15
'Donald','Duck,30000,23,2023-05-26,'Square',202,2000-10-16
'Daisy','Yellow',40000,24,2023-05-26,'Pants',203,1999-11-17
'Goofy','Dog',50000,25,2023-05-26,'Patrick',204,1998-01-18
'Pete','Cat',60000,26,2023-05-26,'Star',205,1997-01-19
'Pluto','White',70000,27,2023-05-26,'Squid',206,1996-02-20
'Huey','Red',80000,28,2023-05-26,'Ward',207,1995-03-21
'Dewey','Black',90000,29,2023-05-26,'Eugene',208,1994-04-22
'Louise','Brown',100000,30,2023-05-26,'Gary',209,1993-05-23
'Mickey','Mouse',10000,31,2023-05-26,'Sponge',210,1992-06-24
'Minnie','Pink',20000,32,2023-05-26,'Bob',211,1991-07-25
'Donald','Duck,30000,33,2023-05-26,'Square',212,1990-08-26
'Daisy','Yellow',40000,34,2023-05-26,'Pants',213,1989-09-27
'Goofy','Dog',50000,35,2023-05-26,'Patrick',214,1988-10-28
'Pete','Cat',60000,36,2023-05-26,'Star',215,1987-11-29
'Pluto','White',70000,37,2023-05-26,'Squid',216,1986-01-30
'Huey','Red',80000,38,2023-05-26,'Ward',217,1985-01-01
'Dewey','Black',90000,39,2005-07-18,'Eugene',218,1984-02-01
'Louise','Brown',100000,40,2005-06-18,'Gary',219,1983-03-02
'Mickey','Mouse',10000,41,2005-05-19,'Sponge',220,1982-04-03
'Minnie','Pink',20000,42,2005-04-19,'Bob',221,1981-05-04
'Donald','Duck,30000,43,2005-03-20,'Square',222,1980-06-05
'Daisy','Yellow',40000,44,2005-02-18,'Pants',223,1979-07-06
'Goofy','Dog',50000,45,2005-01-19,'Patrick',224,1978-08-07
'Pete','Cat',60000,46,2004-12-20,'Star',225,1977-09-08
'Pluto','White',70000,47,2004-11-20,'Squid',226,1976-10-09
'Huey','Red',80000,48,2004-10-21,'Ward',227,1975-11-10
'Dewey','Black',90000,49,2004-09-21,'Eugene',228,1974-01-11
'Louise','Brown',100000,50,2004-08-22,'Gary',229,1973-01-12
'Mickey','Mouse',10000,51,2004-07-23,'Sponge',230,1972-02-13
'Minnie','Pink',20000,52,2004-06-23,'Bob',231,1971-03-14
'Donald','Duck,30000,53,2004-05-24,'Square',232,1970-04-15
'Daisy','Yellow',40000,54,2004-04-24,'Pants',233,1969-05-16
'Goofy','Dog',50000,55,2004-03-25,'Patrick',234,1968-06-17
'Pete','Cat',60000,56,2004-02-24,'Star',235,1967-07-18
'Pluto','White',70000,57,2004-01-25,'Squid',236,1966-08-19
'Huey','Red',80000,58,2003-12-26,'Ward',237,1965-09-20
'Dewey','Black',90000,59,2003-11-26,'Eugene',238,1964-10-21
'Louise','Brown',100000,60,2003-10-27,'Gary',239,1963-11-22
'Mickey','Mouse',10000,21,2023-05-26,'Sponge',240,2002-01-23
'Minnie','Pink',20000,22,2023-05-26,'Bob',241,2001-01-24
'Donald','Duck,30000,23,2023-05-26,'Square',242,2000-02-25
'Daisy','Yellow',40000,24,2023-05-26,'Pants',243,1999-03-26
'Goofy','Dog',50000,25,2023-05-26,'Patrick',244,1998-04-27
'Pete','Cat',60000,26,2023-05-26,'Star',245,1997-05-28
'Pluto','White',70000,27,2023-05-26,'Squid',246,1996-06-29
'Huey','Red',80000,28,2023-05-26,'Ward',247,1995-07-30
'Dewey','Black',90000,29,2023-05-26,'Eugene',248,1994-08-01
'Louise','Brown',100000,30,2023-05-26,'Gary',249,1993-09-01
'Mickey','Mouse',10000,31,2023-05-26,'Sponge',250,1992-10-02
'Minnie','Pink',20000,32,2023-05-26,'Bob',251,1991-11-03
'Donald','Duck,30000,33,2023-05-26,'Square',252,1990-01-04
'Daisy','Yellow',40000,34,2023-05-26,'Pants',253,1989-01-05
'Goofy','Dog',50000,35,2023-05-26,'Patrick',254,1988-02-06
'Pete','Cat',60000,36,2023-05-26,'Star',255,1987-03-07
'Pluto','White',70000,37,2023-05-26,'Squid',256,1986-04-08
'Huey','Red',80000,38,2023-05-26,'Ward',257,1985-05-09
'Dewey','Black',90000,39,2023-05-26,'Eugene',258,1984-06-10
'Louise','Brown',100000,40,2023-05-26,'Gary',259,1983-07-11
'Mickey','Mouse',10000,41,2023-05-26,'Sponge',260,1982-08-12
'Minnie','Pink',20000,42,2002-01-05,'Bob',261,1981-09-13
'Donald','Duck,30000,43,2001-12-06,'Square',262,1980-10-14
'Daisy','Yellow',40000,44,2001-11-06,'Pants',263,1979-11-15
'Goofy','Dog',50000,45,2001-10-07,'Patrick',264,1978-01-16
'Pete','Cat',60000,46,2001-09-07,'Star',265,1977-01-17
'Pluto','White',70000,47,2001-08-08,'Squid',266,1976-02-18
'Huey','Red',80000,48,2001-07-09,'Ward',267,1975-03-19
'Dewey','Black',90000,49,2001-06-09,'Eugene',268,1974-04-20
'Louise','Brown',100000,50,2001-05-10,'Gary',269,1973-05-21
'Mickey','Mouse',10000,51,2001-04-10,'Sponge',270,1972-06-22
'Minnie','Pink',20000,52,2001-03-11,'Bob',271,1971-07-23
'Donald','Duck,30000,53,2001-02-09,'Square',272,1970-08-24
'Daisy','Yellow',40000,54,2001-01-10,'Pants',273,1969-09-25
'Goofy','Dog',50000,55,2000-12-11,'Patrick',274,1968-10-26
'Pete','Cat',60000,56,2000-11-11,'Star',275,1967-11-27
'Pluto','White',70000,57,2000-10-12,'Squid',276,1966-01-28
'Huey','Red',80000,58,2000-09-12,'Ward',277,1965-01-29
'Dewey','Black',90000,59,2000-08-13,'Eugene',278,1964-02-28
'Louise','Brown',100000,60,2000-07-14,'Gary',279,1963-03-01
'Mickey','Mouse',10000,21,2023-05-26,'Sponge',280,2002-04-01
'Minnie','Pink',20000,22,2023-05-26,'Bob',281,2001-05-02
'Donald','Duck,30000,23,2023-05-26,'Square',282,2000-06-03
'Daisy','Yellow',40000,24,2023-05-26,'Pants',283,1999-07-04
'Goofy','Dog',50000,25,2023-05-26,'Patrick',284,1998-08-05
'Pete','Cat',60000,26,2023-05-26,'Star',285,1997-09-06
'Pluto','White',70000,27,2023-05-26,'Squid',286,1996-10-07
'Huey','Red',80000,28,2023-05-26,'Ward',287,1995-11-08
'Dewey','Black',90000,29,2023-05-26,'Eugene',288,1994-01-09
'Louise','Brown',100000,30,2023-05-26,'Gary',289,1993-01-10
'Mickey','Mouse',10000,31,2023-05-26,'Sponge',290,1992-02-11
'Minnie','Pink',20000,32,2023-05-26,'Bob',291,1991-03-12
'Donald','Duck,30000,33,2023-05-26,'Square',292,1990-04-13
'Daisy','Yellow',40000,34,2023-05-26,'Pants',293,1989-05-14
'Goofy','Dog',50000,35,2023-05-26,'Patrick',294,1988-06-15
'Pete','Cat',60000,36,2023-05-26,'Star',295,1987-07-16
'Pluto','White',70000,37,2023-05-26,'Squid',296,1986-08-17
'Huey','Red',80000,38,2023-05-26,'Ward',297,1985-09-18
'Dewey','Black',90000,39,2023-05-26,'Eugene',298,1984-10-19
'Louise','Brown',100000,40,2023-05-26,'Gary',299,1983-11-20
'Mickey','Mouse',10000,41,2023-05-26,'Sponge',300,1982-01-21
'Minnie','Pink',20000,42,2023-05-26,'Bob',301,1981-01-22
'Donald','Duck,30000,43,2023-05-26,'Square',302,1980-02-23
'Daisy','Yellow',40000,44,2023-05-26,'Pants',303,1979-03-24
'Goofy','Dog',50000,45,2023-05-26,'Patrick',304,1978-04-25
'Pete','Cat',60000,46,1998-05-26,'Star',305,1977-05-26
'Pluto','White',70000,47,1998-04-26,'Squid',306,1976-06-27
'Huey','Red',80000,48,1998-03-27,'Ward',307,1975-07-28
'Dewey','Black',90000,49,1998-02-25,'Eugene',308,1974-08-29
'Louise','Brown',100000,50,1998-01-26,'Gary',309,1973-09-30
'Mickey','Mouse',10000,51,1997-12-27,'Sponge',310,1972-10-01
'Minnie','Pink',20000,52,1997-11-27,'Bob',311,1971-11-01
'Donald','Duck,30000,53,1997-10-28,'Square',312,1970-01-02
'Daisy','Yellow',40000,54,1997-09-28,'Pants',313,1969-01-03
'Goofy','Dog',50000,55,1997-08-29,'Patrick',314,1968-02-04
'Pete','Cat',60000,56,1997-07-30,'Star',315,1967-03-05
'Pluto','White',70000,57,1997-06-30,'Squid',316,1966-04-06
'Huey','Red',80000,58,1997-05-31,'Ward',317,1965-05-07
'Dewey','Black',90000,59,1997-05-01,'Eugene',318,1964-06-08
'Louise','Brown',100000,60,1997-04-01,'Gary',319,1963-07-09
'Mickey','Mouse',10000,21,2023-05-26,'Sponge',320,2002-08-10
'Minnie','Pink',20000,22,2023-05-26,'Bob',321,2001-09-11
'Donald','Duck,30000,23,2023-05-26,'Square',322,2000-10-12
'Daisy','Yellow',40000,24,2023-05-26,'Pants',323,1999-11-13
'Goofy','Dog',50000,25,2023-05-26,'Patrick',324,1998-01-14
'Pete','Cat',60000,26,2023-05-26,'Star',325,1997-01-15
'Pluto','White',70000,27,2023-05-26,'Squid',326,1996-02-16
'Huey','Red',80000,28,2023-05-26,'Ward',327,1995-03-17
'Dewey','Black',90000,29,2023-05-26,'Eugene',328,1994-04-18
'Louise','Brown',100000,30,2023-05-26,'Gary',329,1993-05-19
'Mickey','Mouse',10000,31,2023-05-26,'Sponge',330,1992-06-20
'Minnie','Pink',20000,32,2023-05-26,'Bob',331,1991-07-21
'Donald','Duck,30000,33,2023-05-26,'Square',332,1990-08-22
'Daisy','Yellow',40000,34,2023-05-26,'Pants',333,1989-09-23
'Goofy','Dog',50000,35,2023-05-26,'Patrick',334,1988-10-24
'Pete','Cat',60000,36,2023-05-26,'Star',335,1987-11-25
'Pluto','White',70000,37,2023-05-26,'Squid',336,1986-01-26
'Huey','Red',80000,38,2023-05-26,'Ward',337,1985-01-27
'Dewey','Black',90000,39,2023-05-26,'Eugene',338,1984-02-28
'Louise','Brown',100000,40,2023-05-26,'Gary',339,1983-03-29
'Mickey','Mouse',10000,41,2023-05-26,'Sponge',340,1982-04-30
'Minnie','Pink',20000,42,2023-05-26,'Bob',341,1981-05-01
'Donald','Duck,30000,43,2023-05-26,'Square',342,1980-06-01
'Daisy','Yellow',40000,44,2023-05-26,'Pants',343,1979-07-02
'Goofy','Dog',50000,45,2023-05-26,'Patrick',344,1978-08-03
'Pete','Cat',60000,46,2023-05-26,'Star',345,1977-09-04
'Pluto','White',70000,47,2023-05-26,'Squid',346,1976-10-05
'Huey','Red',80000,48,2023-05-26,'Ward',347,1975-11-06
'Dewey','Black',90000,49,2023-04-26,'Eugene',348,1974-01-07
'Louise','Brown',100000,50,2023-03-27,'Gary',349,1973-01-08
'Mickey','Mouse',10000,51,2023-02-25,'Sponge',350,1972-02-09
'Minnie','Pink',20000,52,2023-01-26,'Bob',351,1971-03-10
'Donald','Duck,30000,53,2022-12-27,'Square',352,1970-04-11
'Daisy','Yellow',40000,54,2022-11-27,'Pants',353,1969-05-12
'Goofy','Dog',50000,55,2022-10-28,'Patrick',354,1968-06-13
'Pete','Cat',60000,56,2022-09-28,'Star',355,1967-07-14
'Pluto','White',70000,57,2022-08-29,'Squid',356,1966-08-15
'Huey','Red',80000,58,2022-07-30,'Ward',357,1965-09-16
'Dewey','Black',90000,59,2022-06-30,'Eugene',358,1964-10-17
'Louise','Brown',100000,60,2022-05-31,'Gary',359,1963-11-18
'Mickey','Mouse',10000,21,2023-06-06,'Sponge',360,2002-01-19
'Minnie','Pink',20000,22,2022-04-01,'Bob',361,2001-01-20
'Donald','Duck,30000,23,2022-03-02,'Square',362,2000-02-21
'Daisy','Yellow',40000,24,2022-01-31,'Pants',363,1999-03-22
'Goofy','Dog',50000,25,2022-01-01,'Patrick',364,1998-04-23
'Pete','Cat',60000,26,2021-12-02,'Star',365,1997-05-24
'Pluto','White',70000,27,2021-11-02,'Squid',366,1996-06-25
'Huey','Red',80000,28,2021-10-03,'Ward',367,1995-07-26
'Dewey','Black',90000,29,2021-09-03,'Eugene',368,1994-08-27
'Louise','Brown',100000,30,2021-08-04,'Gary',369,1993-09-28
'Mickey','Mouse',10000,31,2021-07-05,'Sponge',370,1992-10-29
'Minnie','Pink',20000,32,2021-06-05,'Bob',371,1991-11-30
'Donald','Duck,30000,33,2021-05-06,'Square',372,1990-01-01
'Daisy','Yellow',40000,34,2021-04-06,'Pants',373,1989-01-01
'Goofy','Dog',50000,35,2021-03-07,'Patrick',374,1988-02-02
'Pete','Cat',60000,36,2021-02-05,'Star',375,1987-03-03
'Pluto','White',70000,37,2021-01-06,'Squid',376,1986-04-04
'Huey','Red',80000,38,2020-12-07,'Ward',377,1985-05-05
'Dewey','Black',90000,39,2020-11-07,'Eugene',378,1984-06-06
'Louise','Brown',100000,40,2020-10-08,'Gary',379,1983-07-07
'Mickey','Mouse',10000,41,2020-09-08,'Sponge',380,1982-08-08
'Minnie','Pink',20000,42,2020-08-09,'Bob',381,1981-09-09
'Donald','Duck,30000,43,2020-07-10,'Square',382,1980-10-10
'Daisy','Yellow',40000,44,2020-06-10,'Pants',383,1979-11-11
'Goofy','Dog',50000,45,2020-05-11,'Patrick',384,1978-01-12
'Pete','Cat',60000,46,2020-04-11,'Star',385,1977-01-13
'Pluto','White',70000,47,2020-03-12,'Squid',386,1976-02-14
'Huey','Red',80000,48,2020-02-11,'Ward',387,1975-03-15
'Dewey','Black',90000,49,2020-01-12,'Eugene',388,1974-04-16
'Louise','Brown',100000,50,2019-12-13,'Gary',389,1973-05-17
'Mickey','Mouse',10000,51,2019-11-13,'Sponge',390,1972-06-18
'Minnie','Pink',20000,52,2019-10-14,'Bob',391,1971-07-19
